,Current Job Title:,First job role in the IT sector :,How did you transition to your current role?,What courses did you undertake to prepare for your current job role?,Certification (if any):,Programming Languages Proficient In:,Which programming languages are essential for your job role?,Specialized IT Skills,What additional skills have you acquired to excel in your career?,What motivated you to choose a career in the IT sector?,What advice would you give to students aspiring to enter the IT sector?,Did you participate in any extracurricular activities related to IT during your university years?,What role do mentorship and guidance play in your career advancement?,How do you stay updated with the latest trends and technologies in the IT sector?,What is your long-term career goal within the IT sector?
76,Senior UI/UX Engineer,Intern UI/UX Engineer,"Promotion within the same company, Switched companies","Computer Science fundamentals, User Experience (UX) Design Fundamentals, User Interface (UI) Design, Frontend Development, Responsive Design, Usability Testing","AWS, Certified Usability Analyst (CUA), Certified User Experience (UX) Professional (CUXP), Google Analytics Individual Qualification (GAIQ), Human Factors International (HFI) Certified Usability Analyst, Adobe Certified Expert (ACE)","Python, JavaScript, SQL, HTML/CSS,SASS/LESS, TypeScript, Adobe Creative Suite (e.g., Photoshop, Illustrator, XD)","JavaScript, SQL, HTML/CSS,SASS/LESS, TypeScript, Adobe Creative Suite (e.g., Photoshop, Illustrator, XD)",Big Data Analytics,"Communication skills, Problem-solving skills",Passion for technology,Focus on building a strong foundation in programming and technical skills,"Yes, I was part of a coding club or programming competition team",Very important,Online courses,Become a renowned expert or thought leader in the field
77,Senior UI/UX Engineer,Intern UI/UX Engineer,"Promotion within the same company, Switched companies","Computer Science fundamentals, User Experience (UX) Design Fundamentals, User Interface (UI) Design, Frontend Development, Responsive Design, Usability Testing","AWS, Certified Usability Analyst (CUA), Certified User Experience (UX) Professional (CUXP), Google Analytics Individual Qualification (GAIQ), Human Factors International (HFI) Certified Usability Analyst, Adobe Certified Expert (ACE)","Python, JavaScript, SQL, HTML/CSS,SASS/LESS, TypeScript, Adobe Creative Suite (e.g., Photoshop, Illustrator, XD)","JavaScript, SQL, HTML/CSS,SASS/LESS, TypeScript, Adobe Creative Suite (e.g., Photoshop, Illustrator, XD)",Big Data Analytics,"Communication skills, Problem-solving skills",Passion for technology,Focus on building a strong foundation in programming and technical skills,"Yes, I was part of a coding club or programming competition team",Very important,Online courses,Become a renowned expert or thought leader in the field
78,Senior Software Engineer,Intern Software Engineer,"Promotion within the same company, Switched companies","Computer Science fundamentals, Software Engineering principles, Introduction to Programming with Python, Data Structures and Algorithms, Database Management Systems, Web Development with HTML, CSS, and JavaScript","AWS, Oracle Certified Professional, Java SE Programmer (OCPJP), Microsoft Certified: Azure Developer Associate, Google Associate Android Developer, Cisco Certified Network Associate (CCNA)",".net, VueJS, Python, PHP, C, C++, C#, Java, JavaScript, SQL",".net, VueJS, JavaScript, SQL","Database Management, Artificial Intelligence (AI) and Machine Learning (ML)",Communication skills,Passion for technology,Focus on building a strong foundation in programming and technical skills,"Yes, I was part of a coding club or programming competition team",Very important,Online courses,Become a senior software engineer
79,Senior UI/UX Engineer,Intern UI/UX Engineer,"Promotion within the same company, Switched companies","Computer Science fundamentals, User Experience (UX) Design Fundamentals, User Interface (UI) Design, Frontend Development, Responsive Design, Usability Testing","AWS, Certified Usability Analyst (CUA), Certified User Experience (UX) Professional (CUXP), Google Analytics Individual Qualification (GAIQ), Human Factors International (HFI) Certified Usability Analyst, Adobe Certified Expert (ACE)","Python, JavaScript, SQL, HTML/CSS,SASS/LESS, TypeScript, Adobe Creative Suite (e.g., Photoshop, Illustrator, XD)","JavaScript, SQL, HTML/CSS,SASS/LESS, TypeScript, Adobe Creative Suite (e.g., Photoshop, Illustrator, XD)",Big Data Analytics,"Communication skills, Problem-solving skills",Passion for technology,Focus on building a strong foundation in programming and technical skills,"Yes, I was part of a coding club or programming competition team",Very important,Online courses,Become a renowned expert or thought leader in the field
80,Senior Software Engineer,Intern Software Engineer,Switched companies,"Computer Science fundamentals, Software Engineering principles, Introduction to Programming with Python, Data Structures and Algorithms","AWS, Artificial Intelligence (AI) and Machine Learning (ML), Mongo DB",".net, VueJS, Python, PHP, C, C++, C#, Java, JavaScript, SQL",".net, VueJS","Database Management, Artificial Intelligence (AI) and Machine Learning (ML)","Communication skills, Problem-solving skills, Teamwork",Passion for technology,Focus on building a strong foundation in programming and technical skills,"No, I did not participate in extracurricular activities related to IT",Very important,Online courses,Become a renowned expert or thought leader in the field
84,Software Architect,Intern Software Engineer,"Promotion within the same company, Switched companies","Computer Science fundamentals, Software Engineering principles, Project Management, Enterprise Architecture Principles, Emerging Technology Trends, Software Security and Compliance","AWS, Artificial Intelligence (AI) and Machine Learning (ML), Continuous Integration and Continuous Deployment, Mongo DB, TOGAF 9 Certification, AWS Certified Solutions Architect - Professional Microsoft Certified: Azure Solutions Architect Expert, Google Professional Cloud Architect, Cisco Certified Architect (CCAr)",".net, VueJS, Python, PHP, C, C++, C#, Java, JavaScript, SQL",".net, JavaScript, SQL","Database Management, Cloud Computing, Artificial Intelligence (AI) and Machine Learning (ML)","Communication skills, Problem-solving skills, Leadership skills, Time management, Teamwork","Passion for technology, High demand for IT professionals",Focus on building a strong foundation in programming and technical skills,"Yes, I was part of a coding club or programming competition team",Very important,Online courses,Become a renowned expert or thought leader in the field
85,Senior Software Engineer,Intern Software Engineer,Promotion within the same company,"Computer Science fundamentals, Software Engineering principles, Introduction to Programming with Python, Data Structures and Algorithms, Database Management Systems, Web Development with HTML, CSS, and JavaScript","AWS, Oracle Certified Professional, Java SE Programmer (OCPJP), Microsoft Certified: Azure Developer Associate",".net, VueJS, Python, PHP, C, C++, C#, Java, JavaScript, SQL",".net, VueJS, Python, JavaScript","Database Management, Cloud Computing","Communication skills, Teamwork",Passion for technology,Focus on building a strong foundation in programming and technical skills,"Yes, I was part of a coding club or programming competition team",Very important,,Become a Senior Tech Lead
89,Senior UI/UX Engineer,Intern UI/UX Engineer,"Promotion within the same company, Switched companies","Computer Science fundamentals, User Experience (UX) Design Fundamentals, User Interface (UI) Design, Frontend Development, Responsive Design, Usability Testing","AWS, Certified Usability Analyst (CUA), Certified User Experience (UX) Professional (CUXP), Google Analytics Individual Qualification (GAIQ), Human Factors International (HFI) Certified Usability Analyst, Adobe Certified Expert (ACE)","Python, JavaScript, SQL, HTML/CSS,SASS/LESS, TypeScript, Adobe Creative Suite (e.g., Photoshop, Illustrator, XD)","JavaScript, SQL, HTML/CSS,SASS/LESS, TypeScript, Adobe Creative Suite (e.g., Photoshop, Illustrator, XD)",Big Data Analytics,"Communication skills, Problem-solving skills",Passion for technology,Focus on building a strong foundation in programming and technical skills,"Yes, I was part of a coding club or programming competition team",Very important,Online courses,Become a renowned expert or thought leader in the field
91,Senior Software Engineer,Intern Software Engineer,"Promotion within the same company, Switched companies","Computer Science fundamentals, Software Engineering principles, Introduction to Programming with Python, Data Structures and Algorithms, Database Management Systems, Web Development with HTML, CSS, and JavaScript","AWS, Artificial Intelligence (AI) and Machine Learning (ML), Mongo DB, Oracle Certified Professional, Java SE Programmer (OCPJP), Microsoft Certified: Azure Developer Associate, Google Associate Android Developer, Cisco Certified Network Associate (CCNA)",".net, VueJS, Python, PHP, C, C++, C#, Java, JavaScript, SQL",".net, Python, JavaScript, SQL",Artificial Intelligence (AI) and Machine Learning (ML),"Communication skills, Problem-solving skills, Leadership skills, Time management, Teamwork",Passion for technology,Focus on building a strong foundation in programming and technical skills,"Yes, I was part of a coding club or programming competition team",Very important,Online courses,Become a Software Architect
92,Associate Software Engineer,Intern Software Engineer,"Promotion within the same company, Switched companies","Computer Science fundamentals, Software Engineering principles, Introduction to Programming with Python, Data Structures and Algorithms, Database Management Systems, Web Development with HTML, CSS, and JavaScript","AWS, Oracle Certified Professional, Java SE Programmer (OCPJP), Microsoft Certified: Azure Developer Associate, Google Associate Android Developer, Cisco Certified Network Associate (CCNA)",".net, VueJS, Python, PHP, C, C++, C#, Java, JavaScript, SQL",".net, VueJS, JavaScript, SQL","Database Management, Artificial Intelligence (AI) and Machine Learning (ML)",Communication skills,Passion for technology,Focus on building a strong foundation in programming and technical skills,"Yes, I was part of a coding club or programming competition team",Very important,Online courses,Become a senior software engineer
93,Senior Software Engineer,Intern Software Engineer,Promotion within the same company,"Computer Science fundamentals, Software Engineering principles, Introduction to Programming with Python, Data Structures and Algorithms, Database Management Systems, Web Development with HTML, CSS, and JavaScript","AWS, Oracle Certified Professional, Java SE Programmer (OCPJP), Microsoft Certified: Azure Developer Associate, Google Associate Android Developer, Cisco Certified Network Associate (CCNA)",".net, VueJS, Python, PHP, C, C++, C#, Java, JavaScript, SQL",".net, VueJS, JavaScript","Database Management, Artificial Intelligence (AI) and Machine Learning (ML)","Communication skills, Problem-solving skills",Passion for technology,Focus on building a strong foundation in programming and technical skills,"No, I did not participate in extracurricular activities related to IT",Very important,Online courses,Become a Software Architect
96,Software Architect,Intern Software Engineer,"Promotion within the same company, Switched companies","Computer Science fundamentals, Software Engineering principles, Project Management, Enterprise Architecture Principles, Emerging Technology Trends, Software Security and Compliance, Scalability and Performance Optimization Strategies, Regulatory Compliance in relevant industries","AWS, Artificial Intelligence (AI) and Machine Learning (ML), Continuous Integration and Continuous Deployment, Mongo DB, TOGAF 9 Certification, AWS Certified Solutions Architect - Professional Microsoft Certified: Azure Solutions Architect Expert, Google Professional Cloud Architect, Cisco Certified Architect (CCAr)",".net, VueJS, Python, PHP, C, C++, C#, Java, JavaScript, SQL",".net, JavaScript, SQL","Database Management, Cloud Computing, Artificial Intelligence (AI) and Machine Learning (ML)","Communication skills, Problem-solving skills, Leadership skills, Time management, Teamwork","Passion for technology, High demand for IT professionals",Focus on building a strong foundation in programming and technical skills,"Yes, I was part of a coding club or programming competition team",Very important,Online courses,Become a renowned expert or thought leader in the field
100,Software Architect,Intern Software Engineer,"Promotion within the same company, Switched companies","Computer Science fundamentals, Software Engineering principles, Project Management, Enterprise Architecture Principles, Emerging Technology Trends, Software Security and Compliance, Scalability and Performance Optimization Strategies, Regulatory Compliance in relevant industries","AWS, Artificial Intelligence (AI) and Machine Learning (ML), Continuous Integration and Continuous Deployment, Mongo DB, TOGAF 9 Certification, AWS Certified Solutions Architect - Professional Microsoft Certified: Azure Solutions Architect Expert, Google Professional Cloud Architect, Cisco Certified Architect (CCAr)",".net, VueJS, Python, PHP, C, C++, C#, Java, JavaScript, SQL",".net, JavaScript, SQL","Database Management, Cloud Computing, Artificial Intelligence (AI) and Machine Learning (ML)","Communication skills, Problem-solving skills, Leadership skills, Time management, Teamwork","Passion for technology, High demand for IT professionals",Focus on building a strong foundation in programming and technical skills,"Yes, I was part of a coding club or programming competition team",Very important,Online courses,Become a renowned expert or thought leader in the field
104,Software Architect,Intern Software Engineer,"Promotion within the same company, Switched companies","Computer Science fundamentals, Software Engineering principles, Project Management, Enterprise Architecture Principles, Emerging Technology Trends, Software Security and Compliance, Scalability and Performance Optimization Strategies, Regulatory Compliance in relevant industries","AWS, Artificial Intelligence (AI) and Machine Learning (ML), Continuous Integration and Continuous Deployment, Mongo DB, TOGAF 9 Certification, AWS Certified Solutions Architect - Professional Microsoft Certified: Azure Solutions Architect Expert, Google Professional Cloud Architect, Cisco Certified Architect (CCAr)",".net, VueJS, Python, PHP, C, C++, C#, Java, JavaScript, SQL",".net, JavaScript, SQL","Database Management, Cloud Computing, Artificial Intelligence (AI) and Machine Learning (ML)","Communication skills, Problem-solving skills, Leadership skills, Time management, Teamwork","Passion for technology, High demand for IT professionals",Focus on building a strong foundation in programming and technical skills,"Yes, I was part of a coding club or programming competition team",Very important,Online courses,Become a renowned expert or thought leader in the field
106,Software Architect,Intern Software Engineer,"Promotion within the same company, Switched companies","Computer Science fundamentals, Software Engineering principles, Project Management, Enterprise Architecture Principles, Emerging Technology Trends, Software Security and Compliance, Scalability and Performance Optimization Strategies, Regulatory Compliance in relevant industries","AWS, Artificial Intelligence (AI) and Machine Learning (ML), Continuous Integration and Continuous Deployment, Mongo DB, TOGAF 9 Certification, AWS Certified Solutions Architect - Professional Microsoft Certified: Azure Solutions Architect Expert, Google Professional Cloud Architect, Cisco Certified Architect (CCAr)",".net, VueJS, Python, PHP, C, C++, C#, Java, JavaScript, SQL",".net, JavaScript, SQL","Database Management, Cloud Computing, Artificial Intelligence (AI) and Machine Learning (ML)","Communication skills, Problem-solving skills, Leadership skills, Time management, Teamwork","Passion for technology, High demand for IT professionals",Focus on building a strong foundation in programming and technical skills,"Yes, I was part of a coding club or programming competition team",Very important,Online courses,Become a renowned expert or thought leader in the field
108,Associate Software Engineer,Intern Software Engineer,"Promotion within the same company, Switched companies","Computer Science fundamentals, Software Engineering principles, Introduction to Programming with Python, Data Structures and Algorithms, Database Management Systems, Web Development with HTML, CSS, and JavaScript","AWS, Oracle Certified Professional, Java SE Programmer (OCPJP), Microsoft Certified: Azure Developer Associate, Google Associate Android Developer, Cisco Certified Network Associate (CCNA)",".net, VueJS, Python, PHP, C, C++, C#, Java, JavaScript, SQL",".net, VueJS, JavaScript, SQL","Database Management, Artificial Intelligence (AI) and Machine Learning (ML)",Communication skills,Passion for technology,Focus on building a strong foundation in programming and technical skills,"Yes, I was part of a coding club or programming competition team",Very important,Online courses,Become a senior software engineer
109,Senior UI/UX Engineer,Intern UI/UX Engineer,"Promotion within the same company, Switched companies","Computer Science fundamentals, User Experience (UX) Design Fundamentals, User Interface (UI) Design, Frontend Development, Responsive Design, Usability Testing","AWS, Certified Usability Analyst (CUA), Certified User Experience (UX) Professional (CUXP), Google Analytics Individual Qualification (GAIQ), Human Factors International (HFI) Certified Usability Analyst, Adobe Certified Expert (ACE)","Python, JavaScript, SQL, HTML/CSS,SASS/LESS, TypeScript, Adobe Creative Suite (e.g., Photoshop, Illustrator, XD)","JavaScript, SQL, HTML/CSS,SASS/LESS, TypeScript, Adobe Creative Suite (e.g., Photoshop, Illustrator, XD)",Big Data Analytics,"Communication skills, Problem-solving skills",Passion for technology,Focus on building a strong foundation in programming and technical skills,"Yes, I was part of a coding club or programming competition team",Very important,Online courses,Become a renowned expert or thought leader in the field
110,Associate Software Engineer,Intern Software Engineer,"Promotion within the same company, Switched companies","Computer Science fundamentals, Software Engineering principles, Introduction to Programming with Python, Data Structures and Algorithms, Database Management Systems, Web Development with HTML, CSS, and JavaScript","AWS, Oracle Certified Professional, Java SE Programmer (OCPJP), Microsoft Certified: Azure Developer Associate, Google Associate Android Developer, Cisco Certified Network Associate (CCNA)",".net, VueJS, Python, PHP, C, C++, C#, Java, JavaScript, SQL",".net, VueJS, JavaScript, SQL","Database Management, Artificial Intelligence (AI) and Machine Learning (ML)",Communication skills,Passion for technology,Focus on building a strong foundation in programming and technical skills,"Yes, I was part of a coding club or programming competition team",Very important,Online courses,Become a senior software engineer
111,Senior UI/UX Engineer,Intern UI/UX Engineer,"Promotion within the same company, Switched companies","Computer Science fundamentals, User Experience (UX) Design Fundamentals, User Interface (UI) Design, Frontend Development, Responsive Design, Usability Testing","AWS, Certified Usability Analyst (CUA), Certified User Experience (UX) Professional (CUXP), Google Analytics Individual Qualification (GAIQ), Human Factors International (HFI) Certified Usability Analyst, Adobe Certified Expert (ACE)","Python, JavaScript, SQL, HTML/CSS,SASS/LESS, TypeScript, Adobe Creative Suite (e.g., Photoshop, Illustrator, XD)","JavaScript, SQL, HTML/CSS,SASS/LESS, TypeScript, Adobe Creative Suite (e.g., Photoshop, Illustrator, XD)",Big Data Analytics,"Communication skills, Problem-solving skills",Passion for technology,Focus on building a strong foundation in programming and technical skills,"Yes, I was part of a coding club or programming competition team",Very important,Online courses,Become a renowned expert or thought leader in the field
112,Associate Software Engineer,Intern Software Engineer,"Promotion within the same company, Switched companies","Computer Science fundamentals, Software Engineering principles, Introduction to Programming with Python, Data Structures and Algorithms, Database Management Systems, Web Development with HTML, CSS, and JavaScript","AWS, Oracle Certified Professional, Java SE Programmer (OCPJP), Microsoft Certified: Azure Developer Associate, Google Associate Android Developer, Cisco Certified Network Associate (CCNA)",".net, VueJS, Python, PHP, C, C++, C#, Java, JavaScript, SQL",".net, VueJS, JavaScript, SQL","Database Management, Artificial Intelligence (AI) and Machine Learning (ML)",Communication skills,Passion for technology,Focus on building a strong foundation in programming and technical skills,"Yes, I was part of a coding club or programming competition team",Very important,Online courses,Become a senior software engineer
113,Senior UI/UX Engineer,Intern UI/UX Engineer,"Promotion within the same company, Switched companies","Computer Science fundamentals, User Experience (UX) Design Fundamentals, User Interface (UI) Design, Frontend Development, Responsive Design, Usability Testing","AWS, Certified Usability Analyst (CUA), Certified User Experience (UX) Professional (CUXP), Google Analytics Individual Qualification (GAIQ), Human Factors International (HFI) Certified Usability Analyst, Adobe Certified Expert (ACE)","Python, JavaScript, SQL, HTML/CSS,SASS/LESS, TypeScript, Adobe Creative Suite (e.g., Photoshop, Illustrator, XD)","JavaScript, SQL, HTML/CSS,SASS/LESS, TypeScript, Adobe Creative Suite (e.g., Photoshop, Illustrator, XD)",Big Data Analytics,"Communication skills, Problem-solving skills",Passion for technology,Focus on building a strong foundation in programming and technical skills,"Yes, I was part of a coding club or programming competition team",Very important,Online courses,Become a renowned expert or thought leader in the field
114,Associate Software Engineer,Intern Software Engineer,"Promotion within the same company, Switched companies","Computer Science fundamentals, Software Engineering principles, Introduction to Programming with Python, Data Structures and Algorithms","AWS, Oracle Certified Professional, Java SE Programmer (OCPJP)",".net, VueJS, Python, PHP, C, C++, C#, Java, JavaScript, SQL",".net, VueJS, JavaScript, SQL","Database Management, Artificial Intelligence (AI) and Machine Learning (ML)",Communication skills,Passion for technology,Focus on building a strong foundation in programming and technical skills,"Yes, I was part of a coding club or programming competition team",Very important,Online courses,Become a senior software engineer
115,Senior UI/UX Engineer,Intern UI/UX Engineer,"Promotion within the same company, Switched companies","Computer Science fundamentals, User Experience (UX) Design Fundamentals, User Interface (UI) Design, Frontend Development, Responsive Design","AWS, Certified Usability Analyst (CUA), Certified User Experience (UX) Professional (CUXP), Human Factors International (HFI) Certified Usability Analyst, Adobe Certified Expert (ACE)","Python, JavaScript, SQL, HTML/CSS,SASS/LESS, TypeScript, Adobe Creative Suite (e.g., Photoshop, Illustrator, XD)","JavaScript, SQL, HTML/CSS,SASS/LESS, TypeScript, Adobe Creative Suite (e.g., Photoshop, Illustrator, XD)",Big Data Analytics,"Communication skills, Problem-solving skills",Passion for technology,Focus on building a strong foundation in programming and technical skills,"Yes, I was part of a coding club or programming competition team",Very important,Online courses,Become a renowned expert or thought leader in the field
116,Senior UI/UX Engineer,Intern UI/UX Engineer,"Promotion within the same company, Switched companies","Computer Science fundamentals, User Experience (UX) Design Fundamentals, User Interface (UI) Design, Frontend Development, Responsive Design, Usability Testing","AWS, Certified Usability Analyst (CUA), Certified User Experience (UX) Professional (CUXP), Google Analytics Individual Qualification (GAIQ)","Python, JavaScript, SQL, HTML/CSS,SASS/LESS, TypeScript, Adobe Creative Suite (e.g., Photoshop, Illustrator, XD)","JavaScript, SQL, HTML/CSS,SASS/LESS, TypeScript, Adobe Creative Suite (e.g., Photoshop, Illustrator, XD)",Big Data Analytics,"Communication skills, Problem-solving skills",Passion for technology,Focus on building a strong foundation in programming and technical skills,"Yes, I was part of a coding club or programming competition team",Very important,Online courses,Become a renowned expert or thought leader in the field
117,Senior UI/UX Engineer,Intern UI/UX Engineer,"Promotion within the same company, Switched companies","Computer Science fundamentals, User Experience (UX) Design Fundamentals, User Interface (UI) Design, Frontend Development, Responsive Design, Usability Testing","AWS, Certified Usability Analyst (CUA), Certified User Experience (UX) Professional (CUXP), Google Analytics Individual Qualification (GAIQ), Human Factors International (HFI) Certified Usability Analyst, Adobe Certified Expert (ACE)","Python, JavaScript, SQL, HTML/CSS,SASS/LESS, TypeScript, Adobe Creative Suite (e.g., Photoshop, Illustrator, XD)","JavaScript, SQL, HTML/CSS,SASS/LESS, TypeScript, Adobe Creative Suite (e.g., Photoshop, Illustrator, XD)",Big Data Analytics,"Communication skills, Problem-solving skills",Passion for technology,Focus on building a strong foundation in programming and technical skills,"Yes, I was part of a coding club or programming competition team",Very important,Online courses,Become a renowned expert or thought leader in the field
118,Senior Software Engineer,Intern Software Engineer,"Promotion within the same company, Switched companies","Computer Science fundamentals, Software Engineering principles, Introduction to Programming with Python, Data Structures and Algorithms, Database Management Systems, Web Development with HTML, CSS, and JavaScript","AWS, Oracle Certified Professional, Java SE Programmer (OCPJP), Microsoft Certified: Azure Developer Associate, Google Associate Android Developer, Cisco Certified Network Associate (CCNA)",".net, VueJS, Python, PHP, C, C++, C#, Java, JavaScript, SQL",".net, VueJS, JavaScript, SQL","Database Management, Artificial Intelligence (AI) and Machine Learning (ML)",Communication skills,Passion for technology,Focus on building a strong foundation in programming and technical skills,"Yes, I was part of a coding club or programming competition team",Very important,Online courses,Become a senior software engineer
119,Senior UI/UX Engineer,Intern UI/UX Engineer,"Promotion within the same company, Switched companies","Computer Science fundamentals, User Experience (UX) Design Fundamentals, User Interface (UI) Design, Frontend Development, Responsive Design, Usability Testing","AWS, Certified Usability Analyst (CUA), Certified User Experience (UX) Professional (CUXP)","Python, JavaScript, SQL, HTML/CSS,SASS/LESS, TypeScript, Adobe Creative Suite (e.g., Photoshop, Illustrator, XD)","JavaScript, SQL, HTML/CSS,SASS/LESS, TypeScript, Adobe Creative Suite (e.g., Photoshop, Illustrator, XD)",Big Data Analytics,"Communication skills, Problem-solving skills",Passion for technology,Focus on building a strong foundation in programming and technical skills,"Yes, I was part of a coding club or programming competition team",Very important,Online courses,Become a renowned expert or thought leader in the field
120,Senior Software Engineer,Intern Software Engineer,"Promotion within the same company, Switched companies","Computer Science fundamentals, Software Engineering principles, Introduction to Programming with Python, Data Structures and Algorithms, Database Management Systems, Web Development with HTML, CSS, and JavaScript","AWS, Oracle Certified Professional, Java SE Programmer (OCPJP), Microsoft Certified: Azure Developer Associate, Google Associate Android Developer, Cisco Certified Network Associate (CCNA)",".net, VueJS, Python, PHP, C, C++, C#, Java, JavaScript, SQL",".net, VueJS, JavaScript, SQL","Database Management, Artificial Intelligence (AI) and Machine Learning (ML)",Communication skills,Passion for technology,Focus on building a strong foundation in programming and technical skills,"Yes, I was part of a coding club or programming competition team",Very important,Online courses,Become a senior software engineer
